index,image,PSNR,SSIM,LPIPS
0,00000.png,43.765788175311975,0.9961435128085057,0.006641304586082697
3,00003.png,44.02616520975941,0.9962364535747126,0.006602201145142317
6,00006.png,43.988526765311214,0.9962680035391082,0.006605392787605524
9,00009.png,43.69606255203636,0.9962270640670051,0.006918535102158785
12,00012.png,43.67837374767433,0.9961790079554116,0.006421244703233242
15,00015.png,43.042330227754704,0.9958768744808,0.006947946734726429
18,00018.png,42.21216983473444,0.99558979987522,0.007162172347307205
21,00021.png,41.18173572538033,0.9951706452396689,0.00732890609651804
24,00024.png,32.976021754982305,0.9926091987538168,0.008969106711447239
27,00027.png,27.629139127794158,0.986429270454006,0.011298827826976776
30,00030.png,27.28769830096155,0.9864589729777931,0.01172427088022232
33,00033.png,29.772695570939533,0.9894403769423696,0.01028547901660204
36,00036.png,36.63740564184875,0.9936871098797841,0.009302601218223572
39,00039.png,40.7758987315113,0.9949810773276496,0.009441218338906765
42,00042.png,41.24236953845482,0.9949168740334361,0.009128143079578876
45,00045.png,41.86167848100608,0.9952547761124253,0.008106721565127373
48,00048.png,42.40968776773707,0.9953471017049598,0.007773126009851694
51,00051.png,42.93138754113052,0.9956666153907335,0.007196399383246899
54,00054.png,43.397195293361655,0.9960266332010866,0.0068824198096990585
57,00057.png,43.620874215523756,0.9961277159370678,0.00620382372289896
60,00060.png,43.684103423774715,0.9958681790652456,0.006838615983724594
63,00063.png,44.00951451379679,0.9957570430624115,0.0071134623140096664
66,00066.png,43.95530413369502,0.9957564057761993,0.007944729179143906
69,00069.png,44.03778348460045,0.9960654845862678,0.0075959814712405205
72,00072.png,44.2801791559817,0.9962084061846623,0.006541264709085226
75,00075.png,43.08588653822931,0.995911121668107,0.0072561874985694885
78,00078.png,41.137879270602724,0.99551805486163,0.007144127041101456
81,00081.png,25.399117302616816,0.9877830118196401,0.009434700012207031
84,00084.png,18.62066017736721,0.9561197841482189,0.045478589832782745
87,00087.png,18.284702766352964,0.9531893478415898,0.056999027729034424
90,00090.png,18.074714199672645,0.9385088408444994,0.05784033611416817
93,00093.png,18.766278827734894,0.945642407404445,0.036509525030851364
96,00096.png,23.192301275480304,0.9756958030149573,0.012787114828824997
99,00099.png,37.321068906116956,0.9938466583648504,0.009928978979587555
102,00102.png,40.06268510356837,0.9941482077355736,0.010027527809143066
105,00105.png,40.44661570942759,0.9943894700283398,0.009845582768321037
108,00108.png,41.430157253838956,0.994942675174564,0.009143072180449963
111,00111.png,42.289244969304676,0.9953849354035066,0.00826288852840662
114,00114.png,42.85432312697744,0.9957164586000362,0.008132277056574821
117,00117.png,43.4371714212305,0.9959875352106797,0.00740434043109417
120,00120.png,43.207156406533116,0.9958690604497272,0.00756827462464571
123,00123.png,43.22678929307756,0.9956906832774807,0.008091948926448822
126,00126.png,38.46237625013239,0.9955629886962047,0.009599164128303528
129,00129.png,38.90672625016273,0.9955684632963238,0.008855944499373436
132,00132.png,42.896184445691084,0.9960820221970723,0.007413547020405531
135,00135.png,42.94811562162862,0.9957338309158711,0.007993362843990326
138,00138.png,39.83362957253482,0.9954942147294545,0.0077640600502491
141,00141.png,22.62218346248327,0.9769063885344081,0.015506491996347904
144,00144.png,18.605833934736335,0.9537973174839676,0.05360521376132965
147,00147.png,18.568485545102874,0.9527379755932365,0.05976612865924835
150,00150.png,18.191894718839045,0.9380566432490427,0.060780368745326996
153,00153.png,18.533252552384237,0.9451681194304167,0.03365916758775711
